,R_29,N_5,R_15,R_27,R_24,R_30,N_20,R_17,N_3,N_23,N_4,R_28,N_1,R_12,R_13,N_9,N_22,N_2,N_0,N_7,R_14,N_10,R_25,R_16,N_19,N_8,R_21,R_26,N_6,R_11,R_31,N_18
19_SCORE: ITGB4,0.9343694016512746,0.3863586708337652,0.540616923486148,0.4359735097447362,0.24073868155177758,0.2704372449535841,0.0,0.7232177055311926,0.09960566317333813,0.8739132564290966,0.5631121145742175,0.3408106331785079,0.32399616545406773,1.0,0.12552326341791226,0.7525398199119006,0.980093745128593,0.9194529266552416,0.8103220878528558,0.39020939163548085,0.3745523179501,0.9056415763072885,0.6111632124464983,0.47873519571078943,0.8734254317908916,0.46587864313189176,0.8015188983728623,0.5308486006384913,0.4408520326545692,0.42563887193467403,0.777433039379413,0.8880858426839516
"5_SCORE: ITGB3, ABCB1",0.47329512128072615,0.700809138479531,0.18627767252312744,0.5105109935833431,0.3228639753467818,0.22309666003502654,0.3519995906185296,0.1272882811497077,0.46740924463927475,0.5216743123354518,0.0,0.2772839499308858,0.05376699317871031,0.5211351424693322,0.24284494793528916,0.49004229705447283,0.8613363393564893,0.29593546141665333,0.7450008484387668,0.2414718814737507,0.6668937464476191,0.3783728072983911,0.7548875179635717,0.9120476086114551,0.5065563730706822,0.45361922374147345,0.82567933323403,0.872966167716688,1.0,0.5360658839572247,0.8167219875566636,0.41752634128408017
21_SCORE: IL22RA1,0.4370827650727965,0.2715509294455439,0.40053716880964557,0.4117253556626296,0.2769927178493018,0.402485607810258,0.2465409268583837,0.031354429967767494,0.077019935603648,0.47702215984233565,0.0,0.31822056499321094,0.0650693779013719,0.4431741790517981,0.40353067550332694,0.466297987065998,0.4698508539676103,0.5296707548881083,0.6981146477173223,0.30380323639199985,0.17230772708868933,0.45728271324053804,0.3103322827145698,0.229989694467146,0.22968172801415587,0.2996164821079671,0.42137433349066433,0.25130279536720085,0.3682362148903968,0.2805834349217773,0.4073240929406078,1.0
22_SCORE: IL1A,0.5193836511515787,0.3949305541314218,0.4507174571523592,0.4559352827962672,0.3510859605400649,0.403094646400697,0.3902738796924548,0.13627224433920676,0.0,0.5437513529234828,0.3040709354646534,0.3843338489002558,0.5506804250147659,0.5308289210823206,0.37755160350633143,0.5637242712333618,0.4835000473347198,0.5376096921812366,0.45976030986357896,0.4623138743176302,1.0,0.45934506915595325,0.7496436393005781,0.5481701277745825,0.09548673511814826,0.47707952584747404,0.5482295967713899,0.5464364420953409,0.18589044032361113,0.48415581235044347,0.5737146785752255,0.23479886813001036
23_SCORE: IL13RA2,0.2102744314119248,0.30179462160538034,0.20820655454301895,0.35735863096810067,0.13535622036673373,0.2107860796000839,0.0,0.26632866738990235,0.25523785778405483,0.17786049699473877,0.20323112350077643,0.15966700420571553,0.31052795184776544,0.21061910478858564,0.2121696375661034,0.3848748099674717,0.15410358582014896,0.33429350871496943,0.36524082338126895,0.23853522843007546,1.0,0.4801255442148627,0.7386071224684367,0.1260069686150466,0.4064673509004782,0.21834621759044281,0.5283140985369272,0.13446605980617765,0.24922415132192854,0.29640546820409236,0.5549226450432804,0.046416315823278376
"9_SCORE: IFI27, MX1",0.522830927884789,0.32608383083127124,0.6520376612907204,0.4443844600458757,0.8376565326027656,0.6055366434870083,0.32755528955330837,0.29779166246542965,0.1393866897738355,0.5054304811196877,1.0,0.7757139168560301,0.09096766767276782,0.5012947707953614,0.5805952871570401,0.7663421141300096,0.7168562856752119,0.0,0.5600495351712959,0.21868547635856633,0.5108691088433707,0.8011691156382842,0.385145956722669,0.7646804555839689,0.7342239146223029,0.3076254091455426,0.284000500552116,0.7383484939195607,0.5756878375042911,0.4422050094939796,0.2967985169775065,0.49314429052317127
25_SCORE: HLA-DQB1,0.902661366788343,0.13888034065362342,0.8498519308192325,0.3170771185087964,1.0,0.5108049777902719,0.6038150890304615,0.6427738673359306,0.18347326746542303,0.40942304940109553,0.0,0.9498942963684804,0.6207150838013336,0.911463634896629,0.32895324061366327,0.18629455390752547,0.6703897788795812,0.1639138299227455,0.5089722291667657,0.2461184651995284,0.5565482164950271,0.46482065454426313,0.41609183568736274,0.20035352113810817,0.305044640847014,0.22606898262105865,0.3030933587225393,0.27144669489844664,0.8138534838385376,0.6048701597585691,0.3173911474615745,0.04443089468217676
26_SCORE: HLA-DQA1,0.8874466815504485,0.07379453677929848,0.9778438326271168,0.1954699427891018,0.8974355045526315,0.3905208853879826,0.6887093416757171,1.0,0.43927661428352677,0.19853529414513615,0.0,0.9242684560383787,0.9050710523662202,0.8723792992654437,0.0755034599696241,0.15295833465584618,0.9502854243783553,0.20050025078268174,0.9731847768624186,0.21366578920081558,0.8719767535779916,0.8951618673123819,0.5753587039826481,0.3723277389072922,0.3292248813464845,0.1445277660339379,0.33672669843177316,0.42232035155875947,0.7755731189199311,0.8081382139712188,0.3669209992169138,0.2881470465353719
27_SCORE: CXCL2,0.41276801107854943,0.3913625724652418,0.5127097006932301,0.3977679456431372,0.0,0.40780220874027256,0.5216767312068044,0.36235781743592477,0.8165854675546429,0.2346360886008431,0.5811147628320138,0.1710956421358415,0.17870785500264053,0.39610974667863974,0.3515338674853168,0.23471587669502403,0.3309910673187131,0.2978975745079348,0.27932198946460496,0.79674468688153,0.5573809109941833,0.2632484755749571,0.49909703894471763,1.0,0.4577043561336824,0.2122040011525188,0.45220711671170094,0.9396261227608846,0.28796227138460595,0.7815313801787764,0.4581401365194476,0.5386529991697834
"11_SCORE: SLC11A1, TREM1",0.4076732218090388,0.5761062389031437,0.40498662712209593,0.5841127737114312,0.10150595037188487,0.4886344331471351,0.2122694306538171,0.3120688792435473,0.5154837259020538,0.3623284759346474,0.7511303877816348,0.2027800655177282,0.7438837099605972,0.40812102296992625,0.533499897062294,0.0,0.5103356805832711,0.2779127916347548,0.0937142457121225,0.7617871563691189,0.7967220550279931,0.5126842256123064,0.7119265898811268,1.0,0.227258492687884,0.5118388845340368,0.6437078421103112,0.9408269490969727,0.4581396266701703,0.7791776978139905,0.6523396154745864,0.6322599642167706
28_SCORE: CXCL1,0.5151436248562323,0.0,0.2965352277534427,0.41773989386047017,0.12451221213917879,0.22352816696954372,0.28867328705469036,0.22961270068787598,0.19981658403441513,0.6107233666299317,0.20883499884532317,0.18191777376376092,1.0,0.5515812365578023,0.18436998928618237,0.21429593295683586,0.27431938517672394,0.7414798895592318,0.3842936328140501,0.09610550527224648,0.5147749186664942,0.5523070330675148,0.6132785285315256,0.3435730172673992,0.34175924182934875,0.07507082484083155,0.6925256074202222,0.3643686214804099,0.7019325539272706,0.311256184708827,0.6824984103944696,0.5792239686161128
29_SCORE: CEACAM6,0.4965612401169524,0.4884264726346322,0.25134703940506575,0.4656580239301055,0.2508986025060402,0.35476553000774247,0.37693050965339014,0.0008150569245921613,0.17753285248614636,0.5448891397096318,1.0,0.2510482497607974,0.5488433593899176,0.5374335027915166,0.41023522824352976,0.42979540411089123,0.3138473926945383,0.9244674462946764,0.3420441385104618,0.8559577666405038,0.30401142671761777,0.5138379957672796,0.4297548533335748,0.6534679980266015,0.0,0.41402910078750177,0.5309166205258979,0.6418674591334894,0.5761133118410526,0.8491065341760018,0.5181165402537229,0.7084455706957188
30_SCORE: CD3E,0.1743851801535808,0.23571667788168055,0.008704345378433953,0.4404694454554652,1.0,0.5332207517516546,0.9922249687596568,0.2202869659741391,0.38092181926234403,0.3998471388321634,0.5638628394375504,0.6691961038680889,0.15570036053385714,0.20200083446483888,0.8145511657974485,0.49092944616336565,0.3499831880941366,0.19719127914707127,0.06358859546404805,0.22272475258743413,0.1159727873613392,0.07189603935728478,0.051704467045410374,0.3031359476547398,0.4436141366034384,0.6138836105109855,0.0,0.2930249732273349,0.14287842995943803,0.6479806216017275,0.006542208059227839,0.22773064367567847
31_SCORE: CD38,0.37933987584349416,0.7501172690428293,0.9332203337154622,0.6130538379022178,1.0,0.8876538819020618,0.6284225491760432,0.5849521947583167,0.9395176525420439,0.1954813813567578,0.7735583064243529,0.9777150503118595,0.42192346656177854,0.28701917215370376,0.8632137908019561,0.5696971403885619,0.0,0.5292431902227177,0.4305414997780245,0.5909404341124053,0.24549465930833914,0.4117698576912288,0.28595092534575683,0.6632549836273397,0.4290398194510281,0.6328355453883614,0.31849837117644486,0.625640840047545,0.579475415511306,0.26139642474416397,0.31438011651512576,0.621085534860996
32_SCORE: CD27,0.8371882269455302,0.750710276708202,0.760758668365376,0.48748883677779775,0.6313569835680116,0.5704294549036413,0.7082707029563027,0.76891228492288,0.8213479268905555,0.4351953410752376,1.0,0.67453944008079,0.5443582646294429,0.8499274932087401,0.46834418973826436,0.518297780883331,0.14385975153894698,0.5513549809252926,0.36515072990245945,0.8316446695465136,0.4588585466997153,0.295273770435884,0.4872166751867177,0.0,0.3140368162107309,0.7308745257076422,0.5100310557807322,0.08497142958495013,0.13271514378162147,0.7144633351593186,0.5071443337406938,0.8238552792399465
