GENE_SYMBOL,GSM2445716,GSM2445717,GSM2445718,GSM2445719,GSM2445720,GSM2445721,GSM2445722,GSM2445723,GSM2445724,GSM2445725,GSM2445726,GSM2445727,GSM2445728,GSM2445729,GSM2445730,GSM2445731,GSM2445732,GSM2445733,GSM2445734,GSM2445735,GSM2445736,GSM2445737,GSM2445738,GSM2445739,GSM2445740
5S_rRNA,,,,,,,,,,,,,,,,,,,,,,,,,
5_8S_rRNA,,,,,,,,,,,,,,,,,,,,,,,,,
7SK,,,,,,,,,,,,,,,,,,,,,,,,,
A1BG,,,,,,,,,,,,,,,,,,,,,,,,,
A1BG-AS1,,,,,,,,,,,,,,,,,,,,,,,,,
A1CF,,,,,,,,,,,,,,,,,,,,,,,,,
A2M,12.48840647,11.46366462,12.11035098,13.32466136,14.42413274,13.77150483,10.63394157,13.3695467,13.35279711,13.93428894,12.77942668,15.22280682,12.28491433,13.98926178,13.28403013,13.23628329,13.35426454,13.06775583,13.32343749,12.98396304,13.87638909,12.31606812,13.26700284,12.58495629,13.28409259
A2M-AS1,,,,,,,,,,,,,,,,,,,,,,,,,
A2ML1,,,,,,,,,,,,,,,,,,,,,,,,,
A2ML1-AS1,,,,,,,,,,,,,,,,,,,,,,,,,
A2ML1-AS2,,,,,,,,,,,,,,,,,,,,,,,,,
A2MP1,,,,,,,,,,,,,,,,,,,,,,,,,
A3GALT2,,,,,,,,,,,,,,,,,,,,,,,,,
A4GALT,,,,,,,,,,,,,,,,,,,,,,,,,
A4GNT,,,,,,,,,,,,,,,,,,,,,,,,,
HIST1H2AH,,,,,,,,,,,,,,,,,,,,,,,,,
HIST1H2AI,,,,,,,,,,,,,,,,,,,,,,,,,
HIST1H2AJ,,,,,,,,,,,,,,,,,,,,,,,,,
HIST1H2AK,,,,,,,,,,,,,,,,,,,,,,,,,
HIST1H2AL,,,,,,,,,,,,,,,,,,,,,,,,,
HIST1H2AM,,,,,,,,,,,,,,,,,,,,,,,,,
HIST1H2APS1,,,,,,,,,,,,,,,,,,,,,,,,,
HIST1H2APS2,,,,,,,,,,,,,,,,,,,,,,,,,
HIST1H2APS3,,,,,,,,,,,,,,,,,,,,,,,,,
HIST1H2APS4,,,,,,,,,,,,,,,,,,,,,,,,,
HIST1H2APS6,,,,,,,,,,,,,,,,,,,,,,,,,
HIST1H2BA,,,,,,,,,,,,,,,,,,,,,,,,,
HIST1H2BB,,,,,,,,,,,,,,,,,,,,,,,,,
HIST1H2BC,,,,,,,,,,,,,,,,,,,,,,,,,
HIST1H2BD,,,,,,,,,,,,,,,,,,,,,,,,,
HIST1H2BE,,,,,,,,,,,,,,,,,,,,,,,,,
HIST1H2BF,,,,,,,,,,,,,,,,,,,,,,,,,
HIST1H2BG,,,,,,,,,,,,,,,,,,,,,,,,,
HIST1H2BH,,,,,,,,,,,,,,,,,,,,,,,,,
HIST1H2BI,,,,,,,,,,,,,,,,,,,,,,,,,
HIST1H2BJ,,,,,,,,,,,,,,,,,,,,,,,,,
HIST1H2BK,,,,,,,,,,,,,,,,,,,,,,,,,
HIST1H2BL,,,,,,,,,,,,,,,,,,,,,,,,,
HIST1H2BM,,,,,,,,,,,,,,,,,,,,,,,,,
HIST1H2BN,,,,,,,,,,,,,,,,,,,,,,,,,
HIST1H2BO,,,,,,,,,,,,,,,,,,,,,,,,,
HIST1H2BPS1,,,,,,,,,,,,,,,,,,,,,,,,,
HIST1H2BPS2,,,,,,,,,,,,,,,,,,,,,,,,,
HIST1H2BPS3,,,,,,,,,,,,,,,,,,,,,,,,,
HIST1H3A,,,,,,,,,,,,,,,,,,,,,,,,,
HIST1H3B,,,,,,,,,,,,,,,,,,,,,,,,,
HIST1H3C,,,,,,,,,,,,,,,,,,,,,,,,,
HIST1H3D,,,,,,,,,,,,,,,,,,,,,,,,,
HIST1H3E,,,,,,,,,,,,,,,,,,,,,,,,,
HIST1H3F,,,,,,,,,,,,,,,,,,,,,,,,,
HIST1H3G,,,,,,,,,,,,,,,,,,,,,,,,,
HIST1H3H,,,,,,,,,,,,,,,,,,,,,,,,,
HIST1H3I,,,,,,,,,,,,,,,,,,,,,,,,,
HIST1H3J,,,,,,,,,,,,,,,,,,,,,,,,,
HIST1H3PS1,,,,,,,,,,,,,,,,,,,,,,,,,
HIST1H4A,,,,,,,,,,,,,,,,,,,,,,,,,
HIST1H4B,,,,,,,,,,,,,,,,,,,,,,,,,
HIST1H4C,,,,,,,,,,,,,,,,,,,,,,,,,
HIST1H4D,,,,,,,,,,,,,,,,,,,,,,,,,
HIST1H4E,,,,,,,,,,,,,,,,,,,,,,,,,
HIST1H4F,,,,,,,,,,,,,,,,,,,,,,,,,
HIST1H4G,,,,,,,,,,,,,,,,,,,,,,,,,
HIST1H4H,,,,,,,,,,,,,,,,,,,,,,,,,
HIST1H4I,,,,,,,,,,,,,,,,,,,,,,,,,
HIST1H4J,,,,,,,,,,,,,,,,,,,,,,,,,
HIST1H4K,,,,,,,,,,,,,,,,,,,,,,,,,
HIST1H4L,,,,,,,,,,,,,,,,,,,,,,,,,
HIST1H4PS1,,,,,,,,,,,,,,,,,,,,,,,,,
HIST2H2AA3,,,,,,,,,,,,,,,,,,,,,,,,,
HIST2H2AA4,,,,,,,,,,,,,,,,,,,,,,,,,
HIST2H2AB,,,,,,,,,,,,,,,,,,,,,,,,,
HIST2H2AC,,,,,,,,,,,,,,,,,,,,,,,,,
HIST2H2BA,,,,,,,,,,,,,,,,,,,,,,,,,
HIST2H2BB,,,,,,,,,,,,,,,,,,,,,,,,,
HIST2H2BC,,,,,,,,,,,,,,,,,,,,,,,,,
HIST2H2BD,,,,,,,,,,,,,,,,,,,,,,,,,
HIST2H2BE,,,,,,,,,,,,,,,,,,,,,,,,,
HIST2H2BF,,,,,,,,,,,,,,,,,,,,,,,,,
HIST2H3A,,,,,,,,,,,,,,,,,,,,,,,,,
HIST2H3C,,,,,,,,,,,,,,,,,,,,,,,,,
HIST2H3D,,,,,,,,,,,,,,,,,,,,,,,,,
HIST2H3DP1,,,,,,,,,,,,,,,,,,,,,,,,,
HIST2H3PS2,,,,,,,,,,,,,,,,,,,,,,,,,
HIST2H4A,,,,,,,,,,,,,,,,,,,,,,,,,
HIST2H4B,,,,,,,,,,,,,,,,,,,,,,,,,
HIST3H2A,,,,,,,,,,,,,,,,,,,,,,,,,
HIST3H2BA,,,,,,,,,,,,,,,,,,,,,,,,,
HIST3H2BB,,,,,,,,,,,,,,,,,,,,,,,,,
HIST3H3,,,,,,,,,,,,,,,,,,,,,,,,,
HIST4H4,,,,,,,,,,,,,,,,,,,,,,,,,
HIVEP1,,,,,,,,,,,,,,,,,,,,,,,,,
HIVEP2,,,,,,,,,,,,,,,,,,,,,,,,,
HIVEP3,,,,,,,,,,,,,,,,,,,,,,,,,
HJURP,,,,,,,,,,,,,,,,,,,,,,,,,
HK1,,,,,,,,,,,,,,,,,,,,,,,,,
HK2,,,,,,,,,,,,,,,,,,,,,,,,,
HK2P1,,,,,,,,,,,,,,,,,,,,,,,,,
HK3,,,,,,,,,,,,,,,,,,,,,,,,,
HKDC1,,,,,,,,,,,,,,,,,,,,,,,,,
HKR1,,,,,,,,,,,,,,,,,,,,,,,,,
HLA-A,13.04583302,13.2240785,13.8100369,13.69937977,14.2822775,13.39760162,12.92235482,14.43235089,13.77302171,15.17031657,12.53933125,13.83474981,13.25049673,15.10713175,13.65433073,14.97178875,13.55619597,13.38458047,13.3584274,12.74926424,13.48595326,14.67857016,13.91420098,14.1660342,13.74740273
HLA-B,12.00262724,12.38146236,13.72760559,13.56219792,13.84528669,13.25396589,11.42285924,13.84470805,13.43527862,15.23190704,11.86547682,13.43205968,13.00221805,15.16538676,13.53490709,14.65235256,13.10070538,13.15357667,13.45543178,12.66955828,13.53602987,15.03485537,12.45575733,13.59033427,13.9839171
HLA-C,10.86857351,12.39774227,12.35106416,12.66663278,13.17949084,12.67257677,11.31701416,13.88302863,13.35801314,14.75709534,10.63150015,12.73759785,12.90563453,13.64292568,12.14285407,14.19459301,12.03651322,12.85335687,12.23548584,11.93008927,11.96773579,12.94340278,11.77702013,13.20581952,12.5495998
HLA-DMA,9.041837001,9.08235179,9.084998427,10.80828018,11.10809739,10.21006649,9.179177793,11.00273493,9.413733089,10.72325569,8.174237997,10.2506017,10.12863839,12.34034637,10.88314695,11.72469715,10.03271665,10.23500985,10.53663412,10.10965272,10.75231064,10.30541483,10.11440998,10.30256821,10.87445176
HLA-DMB,8.233414602,8.751764612,8.798186638,10.79046412,10.33859409,9.685955099,8.896975977,9.931768409,8.670818229,10.17771617,7.12573948,9.704991522,9.4476292,12.2057168,10.43113443,11.17168154,9.777643534,9.698481587,9.747416628,9.547219246,10.4451501,9.371332142,10.08374943,9.945081736,11.12202784
HLA-DOA,,,,,,,,,,,,,,,,,,,,,,,,,
HLA-DOB,6.461136527,7.309122652,6.384558709,6.867112279,8.797629421,6.628865907,6.686408991,7.544745286,7.926880674,8.110737468,5.384657777,6.918870434,6.924067244,9.965746808,7.811110783,7.892491365,6.674213944,6.753811143,7.806529722,6.943216703,10.23756075,6.832762547,6.68279826,7.520159647,10.80736646
HLA-DPA1,11.05140892,10.59115802,10.64194655,12.54370526,12.43780283,11.79502899,10.86318766,12.22615748,10.31419742,12.43623807,9.270789813,11.65542611,10.89273404,13.79682581,12.69636815,13.4307275,11.51392845,12.68826137,12.3282591,11.04840404,12.20373614,11.33794597,11.37435119,11.93090778,12.67441781
HLA-DPA2,,,,,,,,,,,,,,,,,,,,,,,,,
HLA-DPA3,,,,,,,,,,,,,,,,,,,,,,,,,
HLA-DPB1,10.62323817,10.29594726,10.35610226,12.12712559,11.8328666,11.26307193,10.288445,11.63500315,9.911826328,11.72763561,8.792593161,11.49148454,9.685618476,13.35798865,12.32281968,12.74319349,11.24119361,11.83101984,11.31582795,10.35236163,12.06356156,10.55134961,11.35451028,11.41546227,12.91484926
HLA-DPB2,,,,,,,,,,,,,,,,,,,,,,,,,
HLA-DQA1,9.742933236,10.29429185,3.191913631,4.106299943,2.552869187,3.043903406,10.28504643,3.621913146,2.921879993,3.513802326,8.529170359,11.47066607,11.12373959,4.307535325,11.81044518,13.29995436,4.049723079,11.61627746,4.167929258,2.156620341,11.8258576,4.61644464,11.18190717,3.198231553,13.47029801
HLA-DQA2,,,,,,,,,,,,,,,,,,,,,,,,,
HLA-DQB1,6.486447616,7.593852129,2.384558709,2.743729864,2.775261608,3.043903406,8.579493787,4.844305568,3.751954991,3.892313949,6.023559085,8.678607336,10.520257,4.838050042,9.7133802,11.86195178,4.55222342,8.107238297,3.878422641,3.642047168,8.942479697,4.6989068,8.420975693,5.399865414,11.65776339
HLA-DQB1-AS1,,,,,,,,,,,,,,,,,,,,,,,,,
HLA-DQB2,,,,,,,,,,,,,,,,,,,,,,,,,
HLA-DQB3,,,,,,,,,,,,,,,,,,,,,,,,,
HLA-DRA,11.5553427,11.74086716,11.60130457,13.75415806,13.6016966,13.31215298,11.61376369,13.10774245,11.19178588,13.35442291,10.14335689,12.78951537,11.68727961,14.61195003,14.02738236,14.3424988,12.62683715,13.43011026,13.09570722,11.3786907,13.47350167,12.22942152,12.95586901,12.90869363,13.54312348
HLA-DRB1,,,,,,,,,,,,,,,,,,,,,,,,,
HLA-DRB5,,,,,,,,,,,,,,,,,,,,,,,,,
HLA-DRB6,,,,,,,,,,,,,,,,,,,,,,,,,
HLA-DRB9,,,,,,,,,,,,,,,,,,,,,,,,,
HLA-E,11.58200517,11.74632617,11.92613937,12.20958775,13.40448811,12.39180155,11.5767167,13.5756246,12.33926372,13.79480502,11.56939146,12.71121707,12.30992964,13.63733166,12.59256729,13.65443785,12.41349282,12.61245751,12.42016461,11.47312816,12.71852037,13.41620241,12.38277161,12.40378046,13.24096156
HLA-F,,,,,,,,,,,,,,,,,,,,,,,,,
HLA-F-AS1,,,,,,,,,,,,,,,,,,,,,,,,,
HLA-G,10.26300938,9.833824628,9.544430046,9.50242898,10.40044859,9.839943015,10.27822516,9.308413673,9.116089646,11.16269913,7.913586243,9.575782777,9.290389458,10.96970917,10.09637649,10.71315333,10.18585977,10.25730454,9.8248416,8.961396719,10.44566015,10.35075578,10.41824762,10.40963319,11.07790529
HLA-H,,,,,,,,,,,,,,,,,,,,,,,,,
HLA-J,,,,,,,,,,,,,,,,,,,,,,,,,
HLA-K,,,,,,,,,,,,,,,,,,,,,,,,,
HLA-L,,,,,,,,,,,,,,,,,,,,,,,,,
HLA-N,,,,,,,,,,,,,,,,,,,,,,,,,
HLA-P,,,,,,,,,,,,,,,,,,,,,,,,,
HLA-S,,,,,,,,,,,,,,,,,,,,,,,,,
HLA-T,,,,,,,,,,,,,,,,,,,,,,,,,
HLA-U,,,,,,,,,,,,,,,,,,,,,,,,,
HLA-V,,,,,,,,,,,,,,,,,,,,,,,,,
HLA-W,,,,,,,,,,,,,,,,,,,,,,,,,
HLA-Z,,,,,,,,,,,,,,,,,,,,,,,,,
HLCS,,,,,,,,,,,,,,,,,,,,,,,,,
HLCS-IT1,,,,,,,,,,,,,,,,,,,,,,,,,
HLF,,,,,,,,,,,,,,,,,,,,,,,,,
HLFP1,,,,,,,,,,,,,,,,,,,,,,,,,
HLTF,,,,,,,,,,,,,,,,,,,,,,,,,
HLTF-AS1,,,,,,,,,,,,,,,,,,,,,,,,,
HLX,,,,,,,,,,,,,,,,,,,,,,,,,
HLX-AS1,,,,,,,,,,,,,,,,,,,,,,,,,
HM13,,,,,,,,,,,,,,,,,,,,,,,,,
HM13-AS1,,,,,,,,,,,,,,,,,,,,,,,,,
HM13-IT1,,,,,,,,,,,,,,,,,,,,,,,,,
HMBOX1,,,,,,,,,,,,,,,,,,,,,,,,,
HMBOX1-IT1,,,,,,,,,,,,,,,,,,,,,,,,,
HMBS,,,,,,,,,,,,,,,,,,,,,,,,,
HMCES,,,,,,,,,,,,,,,,,,,,,,,,,
HMCN1,,,,,,,,,,,,,,,,,,,,,,,,,
HMCN2,,,,,,,,,,,,,,,,,,,,,,,,,
HMG20A,,,,,,,,,,,,,,,,,,,,,,,,,
HMG20B,,,,,,,,,,,,,,,,,,,,,,,,,
HMGA1,,,,,,,,,,,,,,,,,,,,,,,,,
HMGA1P1,,,,,,,,,,,,,,,,,,,,,,,,,
HMGA1P2,,,,,,,,,,,,,,,,,,,,,,,,,
HMGA1P3,,,,,,,,,,,,,,,,,,,,,,,,,
HMGA1P4,,,,,,,,,,,,,,,,,,,,,,,,,
HMGA1P5,,,,,,,,,,,,,,,,,,,,,,,,,
HMGA1P6,,,,,,,,,,,,,,,,,,,,,,,,,
HMGA1P7,,,,,,,,,,,,,,,,,,,,,,,,,
HMGA1P8,,,,,,,,,,,,,,,,,,,,,,,,,
HMGA2,,,,,,,,,,,,,,,,,,,,,,,,,
HMGB1,12.26300938,11.5014603,11.55886025,10.83043479,11.45071464,12.01544696,12.24187459,10.58577255,11.62193432,11.45396908,11.14715846,11.95179276,11.16961995,10.78326876,11.95988283,10.99319632,11.40727508,11.07983473,11.5896116,11.14644056,11.78995449,11.73477505,11.64712699,11.60166972,10.9552945
HMGB1P1,,,,,,,,,,,,,,,,,,,,,,,,,
HMGB1P10,,,,,,,,,,,,,,,,,,,,,,,,,
HMGB1P11,,,,,,,,,,,,,,,,,,,,,,,,,
HMGB1P12,,,,,,,,,,,,,,,,,,,,,,,,,
HMGB1P13,,,,,,,,,,,,,,,,,,,,,,,,,
HMGB1P14,,,,,,,,,,,,,,,,,,,,,,,,,
HMGB1P15,,,,,,,,,,,,,,,,,,,,,,,,,
HMGB1P16,,,,,,,,,,,,,,,,,,,,,,,,,
HMGB1P17,,,,,,,,,,,,,,,,,,,,,,,,,
HMGB1P18,,,,,,,,,,,,,,,,,,,,,,,,,
HMGB1P19,,,,,,,,,,,,,,,,,,,,,,,,,
HMGB1P20,,,,,,,,,,,,,,,,,,,,,,,,,
HMGB1P21,,,,,,,,,,,,,,,,,,,,,,,,,
HMGB1P22,,,,,,,,,,,,,,,,,,,,,,,,,
HMGB1P23,,,,,,,,,,,,,,,,,,,,,,,,,
HMGB1P24,,,,,,,,,,,,,,,,,,,,,,,,,
HMGB1P25,,,,,,,,,,,,,,,,,,,,,,,,,
HMGB1P26,,,,,,,,,,,,,,,,,,,,,,,,,
HMGB1P27,,,,,,,,,,,,,,,,,,,,,,,,,
HMGB1P28,,,,,,,,,,,,,,,,,,,,,,,,,
HMGB1P29,,,,,,,,,,,,,,,,,,,,,,,,,
HMGB1P3,,,,,,,,,,,,,,,,,,,,,,,,,
HMGB1P30,,,,,,,,,,,,,,,,,,,,,,,,,
HMGB1P31,,,,,,,,,,,,,,,,,,,,,,,,,
HMGB1P32,,,,,,,,,,,,,,,,,,,,,,,,,
HMGB1P35,,,,,,,,,,,,,,,,,,,,,,,,,
HMGB1P36,,,,,,,,,,,,,,,,,,,,,,,,,
HMGB1P37,,,,,,,,,,,,,,,,,,,,,,,,,
HMGB1P38,,,,,,,,,,,,,,,,,,,,,,,,,
HMGB1P39,,,,,,,,,,,,,,,,,,,,,,,,,
HMGB1P4,,,,,,,,,,,,,,,,,,,,,,,,,
HMGB1P41,,,,,,,,,,,,,,,,,,,,,,,,,
HMGB1P42,,,,,,,,,,,,,,,,,,,,,,,,,
HMGB1P44,,,,,,,,,,,,,,,,,,,,,,,,,
HMGB1P45,,,,,,,,,,,,,,,,,,,,,,,,,
HMGB1P46,,,,,,,,,,,,,,,,,,,,,,,,,
HMGB1P47,,,,,,,,,,,,,,,,,,,,,,,,,
HMGB1P48,,,,,,,,,,,,,,,,,,,,,,,,,
HMGB1P5,,,,,,,,,,,,,,,,,,,,,,,,,
HMGB1P7,,,,,,,,,,,,,,,,,,,,,,,,,
HMGB1P8,,,,,,,,,,,,,,,,,,,,,,,,,
HMGB1P9,,,,,,,,,,,,,,,,,,,,,,,,,
HMGB2,,,,,,,,,,,,,,,,,,,,,,,,,
HMGB2P1,,,,,,,,,,,,,,,,,,,,,,,,,
HMGB3,,,,,,,,,,,,,,,,,,,,,,,,,
HMGB3P1,,,,,,,,,,,,,,,,,,,,,,,,,
HMGB3P10,,,,,,,,,,,,,,,,,,,,,,,,,
HMGB3P11,,,,,,,,,,,,,,,,,,,,,,,,,
HMGB3P12,,,,,,,,,,,,,,,,,,,,,,,,,
HMGB3P13,,,,,,,,,,,,,,,,,,,,,,,,,
HMGB3P14,,,,,,,,,,,,,,,,,,,,,,,,,
HMGB3P15,,,,,,,,,,,,,,,,,,,,,,,,,
HMGB3P16,,,,,,,,,,,,,,,,,,,,,,,,,
HMGB3P17,,,,,,,,,,,,,,,,,,,,,,,,,
HMGB3P18,,,,,,,,,,,,,,,,,,,,,,,,,
HMGB3P19,,,,,,,,,,,,,,,,,,,,,,,,,
HMGB3P2,,,,,,,,,,,,,,,,,,,,,,,,,
HMGB3P20,,,,,,,,,,,,,,,,,,,,,,,,,
HMGB3P21,,,,,,,,,,,,,,,,,,,,,,,,,
HMGB3P22,,,,,,,,,,,,,,,,,,,,,,,,,
HMGB3P23,,,,,,,,,,,,,,,,,,,,,,,,,
HMGB3P24,,,,,,,,,,,,,,,,,,,,,,,,,
HMGB3P26,,,,,,,,,,,,,,,,,,,,,,,,,
HMGB3P27,,,,,,,,,,,,,,,,,,,,,,,,,
HMGB3P3,,,,,,,,,,,,,,,,,,,,,,,,,
HMGB3P30,,,,,,,,,,,,,,,,,,,,,,,,,
HMGB3P31,,,,,,,,,,,,,,,,,,,,,,,,,
HMGB3P32,,,,,,,,,,,,,,,,,,,,,,,,,
HMGB3P4,,,,,,,,,,,,,,,,,,,,,,,,,
HMGB3P5,,,,,,,,,,,,,,,,,,,,,,,,,
HMGB3P6,,,,,,,,,,,,,,,,,,,,,,,,,
HMGB3P7,,,,,,,,,,,,,,,,,,,,,,,,,
HMGB3P8,,,,,,,,,,,,,,,,,,,,,,,,,
HMGB3P9,,,,,,,,,,,,,,,,,,,,,,,,,
HMGB4,,,,,,,,,,,,,,,,,,,,,,,,,
HMGCL,,,,,,,,,,,,,,,,,,,,,,,,,
HMGCLL1,,,,,,,,,,,,,,,,,,,,,,,,,
HMGCR,,,,,,,,,,,,,,,,,,,,,,,,,
HMGCS1,,,,,,,,,,,,,,,,,,,,,,,,,
HMGCS2,,,,,,,,,,,,,,,,,,,,,,,,,
HMGN1,,,,,,,,,,,,,,,,,,,,,,,,,
HMGN1P10,,,,,,,,,,,,,,,,,,,,,,,,,
HMGN1P11,,,,,,,,,,,,,,,,,,,,,,,,,
HMGN1P12,,,,,,,,,,,,,,,,,,,,,,,,,
HMGN1P13,,,,,,,,,,,,,,,,,,,,,,,,,
HMGN1P14,,,,,,,,,,,,,,,,,,,,,,,,,
HMGN1P15,,,,,,,,,,,,,,,,,,,,,,,,,
HMGN1P16,,,,,,,,,,,,,,,,,,,,,,,,,
HMGN1P17,,,,,,,,,,,,,,,,,,,,,,,,,
HMGN1P18,,,,,,,,,,,,,,,,,,,,,,,,,
HMGN1P19,,,,,,,,,,,,,,,,,,,,,,,,,
HMGN1P2,,,,,,,,,,,,,,,,,,,,,,,,,
HMGN1P20,,,,,,,,,,,,,,,,,,,,,,,,,
HMGN1P24,,,,,,,,,,,,,,,,,,,,,,,,,
HMGN1P26,,,,,,,,,,,,,,,,,,,,,,,,,
HMGN1P28,,,,,,,,,,,,,,,,,,,,,,,,,
HMGN1P3,,,,,,,,,,,,,,,,,,,,,,,,,
HMGN1P30,,,,,,,,,,,,,,,,,,,,,,,,,
HMGN1P32,,,,,,,,,,,,,,,,,,,,,,,,,
HMGN1P33,,,,,,,,,,,,,,,,,,,,,,,,,
HMGN1P34,,,,,,,,,,,,,,,,,,,,,,,,,
HMGN1P35,,,,,,,,,,,,,,,,,,,,,,,,,
HMGN1P36,,,,,,,,,,,,,,,,,,,,,,,,,
HMGN1P37,,,,,,,,,,,,,,,,,,,,,,,,,
HMGN1P38,,,,,,,,,,,,,,,,,,,,,,,,,
HMGN1P4,,,,,,,,,,,,,,,,,,,,,,,,,
HMGN1P5,,,,,,,,,,,,,,,,,,,,,,,,,
HMGN1P6,,,,,,,,,,,,,,,,,,,,,,,,,
HMGN1P7,,,,,,,,,,,,,,,,,,,,,,,,,
HMGN1P8,,,,,,,,,,,,,,,,,,,,,,,,,
HMGN1P9,,,,,,,,,,,,,,,,,,,,,,,,,
HMGN2,,,,,,,,,,,,,,,,,,,,,,,,,
HMGN2P10,,,,,,,,,,,,,,,,,,,,,,,,,
HMGN2P11,,,,,,,,,,,,,,,,,,,,,,,,,
HMGN2P13,,,,,,,,,,,,,,,,,,,,,,,,,
HMGN2P15,,,,,,,,,,,,,,,,,,,,,,,,,
HMGN2P16,,,,,,,,,,,,,,,,,,,,,,,,,
HMGN2P17,,,,,,,,,,,,,,,,,,,,,,,,,
HMGN2P18,,,,,,,,,,,,,,,,,,,,,,,,,
HMGN2P19,,,,,,,,,,,,,,,,,,,,,,,,,
HMGN2P20,,,,,,,,,,,,,,,,,,,,,,,,,
HMGN2P21,,,,,,,,,,,,,,,,,,,,,,,,,
HMGN2P22,,,,,,,,,,,,,,,,,,,,,,,,,
HMGN2P23,,,,,,,,,,,,,,,,,,,,,,,,,
HMGN2P24,,,,,,,,,,,,,,,,,,,,,,,,,
HMGN2P25,,,,,,,,,,,,,,,,,,,,,,,,,
HMGN2P26,,,,,,,,,,,,,,,,,,,,,,,,,
HMGN2P27,,,,,,,,,,,,,,,,,,,,,,,,,
HMGN2P28,,,,,,,,,,,,,,,,,,,,,,,,,
HMGN2P3,,,,,,,,,,,,,,,,,,,,,,,,,
HMGN2P30,,,,,,,,,,,,,,,,,,,,,,,,,
HMGN2P31,,,,,,,,,,,,,,,,,,,,,,,,,
HMGN2P32,,,,,,,,,,,,,,,,,,,,,,,,,
HMGN2P34,,,,,,,,,,,,,,,,,,,,,,,,,
HMGN2P35,,,,,,,,,,,,,,,,,,,,,,,,,
HMGN2P36,,,,,,,,,,,,,,,,,,,,,,,,,
HMGN2P38,,,,,,,,,,,,,,,,,,,,,,,,,
HMGN2P39,,,,,,,,,,,,,,,,,,,,,,,,,
HMGN2P4,,,,,,,,,,,,,,,,,,,,,,,,,
HMGN2P40,,,,,,,,,,,,,,,,,,,,,,,,,
HMGN2P41,,,,,,,,,,,,,,,,,,,,,,,,,
HMGN2P46,,,,,,,,,,,,,,,,,,,,,,,,,
HMGN2P47,,,,,,,,,,,,,,,,,,,,,,,,,
HMGN2P5,,,,,,,,,,,,,,,,,,,,,,,,,
HMGN2P6,,,,,,,,,,,,,,,,,,,,,,,,,
HMGN2P7,,,,,,,,,,,,,,,,,,,,,,,,,
HMGN2P8,,,,,,,,,,,,,,,,,,,,,,,,,
HMGN2P9,,,,,,,,,,,,,,,,,,,,,,,,,
HMGN3,,,,,,,,,,,,,,,,,,,,,,,,,
HMGN3-AS1,,,,,,,,,,,,,,,,,,,,,,,,,
HMGN3P1,,,,,,,,,,,,,,,,,,,,,,,,,
HMGN4,,,,,,,,,,,,,,,,,,,,,,,,,
HMGN5,,,,,,,,,,,,,,,,,,,,,,,,,
HMGXB3,,,,,,,,,,,,,,,,,,,,,,,,,
HMGXB4,,,,,,,,,,,,,,,,,,,,,,,,,
HMHB1,,,,,,,,,,,,,,,,,,,,,,,,,
HMMR,,,,,,,,,,,,,,,,,,,,,,,,,
HMMR-AS1,,,,,,,,,,,,,,,,,,,,,,,,,
HMOX1,,,,,,,,,,,,,,,,,,,,,,,,,
HMOX2,,,,,,,,,,,,,,,,,,,,,,,,,
HMP19,,,,,,,,,,,,,,,,,,,,,,,,,
HMSD,,,,,,,,,,,,,,,,,,,,,,,,,
HMX1,,,,,,,,,,,,,,,,,,,,,,,,,
HMX2,,,,,,,,,,,,,,,,,,,,,,,,,
HMX3,,,,,,,,,,,,,,,,,,,,,,,,,
HN1,,,,,,,,,,,,,,,,,,,,,,,,,
HN1L,,,,,,,,,,,,,,,,,,,,,,,,,
HNCAT21,,,,,,,,,,,,,,,,,,,,,,,,,
HNF1A,,,,,,,,,,,,,,,,,,,,,,,,,
HNF1A-AS1,,,,,,,,,,,,,,,,,,,,,,,,,
HNF1B,,,,,,,,,,,,,,,,,,,,,,,,,
HNF4A,,,,,,,,,,,,,,,,,,,,,,,,,
HNF4A-AS1,,,,,,,,,,,,,,,,,,,,,,,,,
HNF4G,,,,,,,,,,,,,,,,,,,,,,,,,
HNF4GP1,,,,,,,,,,,,,,,,,,,,,,,,,
HNMT,,,,,,,,,,,,,,,,,,,,,,,,,
HNRNPA0,,,,,,,,,,,,,,,,,,,,,,,,,
HNRNPA1,,,,,,,,,,,,,,,,,,,,,,,,,
HNRNPA1L2,,,,,,,,,,,,,,,,,,,,,,,,,
HNRNPA1P1,,,,,,,,,,,,,,,,,,,,,,,,,
HNRNPA1P10,,,,,,,,,,,,,,,,,,,,,,,,,
HNRNPA1P11,,,,,,,,,,,,,,,,,,,,,,,,,
HNRNPA1P12,,,,,,,,,,,,,,,,,,,,,,,,,
HNRNPA1P13,,,,,,,,,,,,,,,,,,,,,,,,,
HNRNPA1P14,,,,,,,,,,,,,,,,,,,,,,,,,
HNRNPA1P15,,,,,,,,,,,,,,,,,,,,,,,,,
HNRNPA1P16,,,,,,,,,,,,,,,,,,,,,,,,,
HNRNPA1P17,,,,,,,,,,,,,,,,,,,,,,,,,
HNRNPA1P18,,,,,,,,,,,,,,,,,,,,,,,,,
HNRNPA1P19,,,,,,,,,,,,,,,,,,,,,,,,,
HNRNPA1P2,,,,,,,,,,,,,,,,,,,,,,,,,
HNRNPA1P20,,,,,,,,,,,,,,,,,,,,,,,,,
HNRNPA1P21,,,,,,,,,,,,,,,,,,,,,,,,,
HNRNPA1P22,,,,,,,,,,,,,,,,,,,,,,,,,
