GENE_SYMBOL,GSM2445716,GSM2445717,GSM2445718,GSM2445719,GSM2445720,GSM2445721,GSM2445722,GSM2445723,GSM2445724,GSM2445725,GSM2445726,GSM2445727,GSM2445728,GSM2445729,GSM2445730,GSM2445731,GSM2445732,GSM2445733,GSM2445734,GSM2445735,GSM2445736,GSM2445737,GSM2445738,GSM2445739,GSM2445740
5S_rRNA,,,,,,,,,,,,,,,,,,,,,,,,,
5_8S_rRNA,,,,,,,,,,,,,,,,,,,,,,,,,
7SK,,,,,,,,,,,,,,,,,,,,,,,,,
A1BG,,,,,,,,,,,,,,,,,,,,,,,,,
A1BG-AS1,,,,,,,,,,,,,,,,,,,,,,,,,
A1CF,,,,,,,,,,,,,,,,,,,,,,,,,
A2M,12.48840647,11.46366462,12.11035098,13.32466136,14.42413274,13.77150483,10.63394157,13.3695467,13.35279711,13.93428894,12.77942668,15.22280682,12.28491433,13.98926178,13.28403013,13.23628329,13.35426454,13.06775583,13.32343749,12.98396304,13.87638909,12.31606812,13.26700284,12.58495629,13.28409259
A2M-AS1,,,,,,,,,,,,,,,,,,,,,,,,,
A2ML1,,,,,,,,,,,,,,,,,,,,,,,,,
A2ML1-AS1,,,,,,,,,,,,,,,,,,,,,,,,,
A2ML1-AS2,,,,,,,,,,,,,,,,,,,,,,,,,
A2MP1,,,,,,,,,,,,,,,,,,,,,,,,,
A3GALT2,,,,,,,,,,,,,,,,,,,,,,,,,
A4GALT,,,,,,,,,,,,,,,,,,,,,,,,,
A4GNT,,,,,,,,,,,,,,,,,,,,,,,,,
ABL1,9.380738174,8.657045955,9.850125114,8.687919001,9.963673837,9.675080462,8.696677326,8.86984066,9.613041897,9.418286424,9.162265356,8.557470899,8.935294499,9.032428087,9.731776757,10.04059,9.761676786,9.365859824,9.92281676,9.442022559,8.607117576,9.287205013,9.627184284,9.647792927,8.31057726
ABL2,,,,,,,,,,,,,,,,,,,,,,,,,
ABLIM1,,,,,,,,,,,,,,,,,,,,,,,,,
ABLIM2,,,,,,,,,,,,,,,,,,,,,,,,,
ABLIM3,,,,,,,,,,,,,,,,,,,,,,,,,
ABO,,,,,,,,,,,,,,,,,,,,,,,,,
ABR,,,,,,,,,,,,,,,,,,,,,,,,,
ABRA,,,,,,,,,,,,,,,,,,,,,,,,,
ABRACL,,,,,,,,,,,,,,,,,,,,,,,,,
ABT1,,,,,,,,,,,,,,,,,,,,,,,,,
ABT1P1,,,,,,,,,,,,,,,,,,,,,,,,,
ABTB1,,,,,,,,,,,,,,,,,,,,,,,,,
ABTB2,,,,,,,,,,,,,,,,,,,,,,,,,
AC000032.2,,,,,,,,,,,,,,,,,,,,,,,,,
AC000035.3,,,,,,,,,,,,,,,,,,,,,,,,,
AC000036.4,,,,,,,,,,,,,,,,,,,,,,,,,
AC000041.10,,,,,,,,,,,,,,,,,,,,,,,,,
AC000041.8,,,,,,,,,,,,,,,,,,,,,,,,,
AC000067.1,,,,,,,,,,,,,,,,,,,,,,,,,
AC000068.10,,,,,,,,,,,,,,,,,,,,,,,,,
AC000068.5,,,,,,,,,,,,,,,,,,,,,,,,,
AC000068.9,,,,,,,,,,,,,,,,,,,,,,,,,
AC000077.2,,,,,,,,,,,,,,,,,,,,,,,,,
AC000078.5,,,,,,,,,,,,,,,,,,,,,,,,,
AC000081.2,,,,,,,,,,,,,,,,,,,,,,,,,
AC000089.3,,,,,,,,,,,,,,,,,,,,,,,,,
AC000095.11,,,,,,,,,,,,,,,,,,,,,,,,,
AC000095.12,,,,,,,,,,,,,,,,,,,,,,,,,
AC000095.9,,,,,,,,,,,,,,,,,,,,,,,,,
AC000099.1,,,,,,,,,,,,,,,,,,,,,,,,,
AC000111.3,,,,,,,,,,,,,,,,,,,,,,,,,
AC000111.4,,,,,,,,,,,,,,,,,,,,,,,,,
AC000111.5,,,,,,,,,,,,,,,,,,,,,,,,,
AC000111.6,,,,,,,,,,,,,,,,,,,,,,,,,
AC000120.7,,,,,,,,,,,,,,,,,,,,,,,,,
AC000123.2,,,,,,,,,,,,,,,,,,,,,,,,,
AC000123.3,,,,,,,,,,,,,,,,,,,,,,,,,
AC000123.4,,,,,,,,,,,,,,,,,,,,,,,,,
AC000124.1,,,,,,,,,,,,,,,,,,,,,,,,,
AC000362.1,,,,,,,,,,,,,,,,,,,,,,,,,
AC000367.1,,,,,,,,,,,,,,,,,,,,,,,,,
AC000370.2,,,,,,,,,,,,,,,,,,,,,,,,,
AC000374.1,,,,,,,,,,,,,,,,,,,,,,,,,
AC000403.4,,,,,,,,,,,,,,,,,,,,,,,,,
AC001226.7,,,,,,,,,,,,,,,,,,,,,,,,,
AC002044.1,,,,,,,,,,,,,,,,,,,,,,,,,
AC002044.3,,,,,,,,,,,,,,,,,,,,,,,,,
AC002044.4,,,,,,,,,,,,,,,,,,,,,,,,,
AC002056.3,,,,,,,,,,,,,,,,,,,,,,,,,
AC002056.5,,,,,,,,,,,,,,,,,,,,,,,,,
AC002059.10,,,,,,,,,,,,,,,,,,,,,,,,,
AC002064.4,,,,,,,,,,,,,,,,,,,,,,,,,
AC002064.5,,,,,,,,,,,,,,,,,,,,,,,,,
AC002064.7,,,,,,,,,,,,,,,,,,,,,,,,,
AC002066.1,,,,,,,,,,,,,,,,,,,,,,,,,
AC002069.5,,,,,,,,,,,,,,,,,,,,,,,,,
AC002069.6,,,,,,,,,,,,,,,,,,,,,,,,,
AC002075.3,,,,,,,,,,,,,,,,,,,,,,,,,
AC002075.4,,,,,,,,,,,,,,,,,,,,,,,,,
AC002076.10,,,,,,,,,,,,,,,,,,,,,,,,,
AC002115.5,,,,,,,,,,,,,,,,,,,,,,,,,
AC002115.9,,,,,,,,,,,,,,,,,,,,,,,,,
AC002116.7,,,,,,,,,,,,,,,,,,,,,,,,,
AC002116.8,,,,,,,,,,,,,,,,,,,,,,,,,
AC002117.1,,,,,,,,,,,,,,,,,,,,,,,,,
AC002127.2,,,,,,,,,,,,,,,,,,,,,,,,,
AC002127.4,,,,,,,,,,,,,,,,,,,,,,,,,
AC002128.5,,,,,,,,,,,,,,,,,,,,,,,,,
AC002306.1,,,,,,,,,,,,,,,,,,,,,,,,,
AC002310.10,,,,,,,,,,,,,,,,,,,,,,,,,
AC002310.11,,,,,,,,,,,,,,,,,,,,,,,,,
AC002310.12,,,,,,,,,,,,,,,,,,,,,,,,,
AC002310.13,,,,,,,,,,,,,,,,,,,,,,,,,
AC002310.14,,,,,,,,,,,,,,,,,,,,,,,,,
AC002310.17,,,,,,,,,,,,,,,,,,,,,,,,,
AC002310.7,,,,,,,,,,,,,,,,,,,,,,,,,
AC002314.4,,,,,,,,,,,,,,,,,,,,,,,,,
AC002331.1,,,,,,,,,,,,,,,,,,,,,,,,,
AC002366.3,,,,,,,,,,,,,,,,,,,,,,,,,
AC002368.4,,,,,,,,,,,,,,,,,,,,,,,,,
AC002383.2,,,,,,,,,,,,,,,,,,,,,,,,,
AC002386.1,,,,,,,,,,,,,,,,,,,,,,,,,
AC002398.11,,,,,,,,,,,,,,,,,,,,,,,,,
AC002398.12,,,,,,,,,,,,,,,,,,,,,,,,,
AC002398.13,,,,,,,,,,,,,,,,,,,,,,,,,
AC002398.9,,,,,,,,,,,,,,,,,,,,,,,,,
AC002400.1,,,,,,,,,,,,,,,,,,,,,,,,,
AC002401.1,,,,,,,,,,,,,,,,,,,,,,,,,
