,RN7SL2,FTL,MT-CO3,MT-CO2,MT-ATP8,MT-ATP6,MT-CO1,IGKC,MT-ND4,MT-RNR2,PGC,MT-ND3,LIPF,IGKV2-24,MT-ND1,MT-CYB,S100A9,MT-ND4L,MT-ND2,ALB,MT-TC,MT-ND6,GKN1,S100A8,SPP1,MT-ND5,S100A7,RNU4-2,MT-TP,PI3,HBB,PMEL,IGHV3-30,MT-RNR1,HLA-DRA,VGF,RN7SKP255,IGHG1,RPS12,MIR3609,TMSB10,TYRP1,FGB,RPS27,KRT14,IGLV3-19,MT-TY,APOD,RPS18,KRT6A,PGA5,EEF1A1,KRT16,FGA,FGG,ORM1,SERPINA1,S100A6,CD74,IGHA1,SNORA49,COL3A1,FABP3,MTATP6P1,IGLV1-36,PSAP,B2M,TMSB4X,ACTG1,IGLC2,KRT10,RPL13A,APOE,DCT,RPS11,IGLV2-14,LGALS1,ACTB,MT-TN,SAA1,HLA-B,APOH,RNU5B-1,RPL8,TIMP1,MT-TV,SPRR1B,RPS6,RPL41,IGHV3-73,CTSB,IGKJ1,SPRR2E,IGKV4-1,TFF1,HP,HLA-A,IGHV3-7,HLA-DRB1,KRTDAP
SRR7344546,33644.4540915997,1231.61731331899,67.4267763725798,64.3396601868908,30.9160258718924,27.4197593530386,191.70539703537898,49.11306962351421,41.6063557516855,31.546261094882198,0.0432918474918433,71.7036864201968,0.0,0.0,17.5148580686796,25.1242586440941,5.16576031163503,21.547533183440198,19.4345911329146,0.0,73.05499264248559,19.370009477779,0.0,0.8714313237672241,49.51749867520821,32.0280828671029,0.6542238147088261,636.666489071534,11.6028517726301,1.36740714131515,1.5614807587706798,1.16858024631917,0.0,20.4921551688985,1296.42933349651,10.8285654774809,5561.32882009915,6.6654084525367,689.2124208096809,8606.608683211229,6072.46060214003,0.562412132612559,0.0,752.945220152468,4.45824418054976,0.0,10.6261807479979,32.0417801139277,594.124154073947,0.0598811415102341,0.0300947446518993,2017.7916703551102,0.106261807479979,0.0443205213200115,0.0730549926424856,0.0,4.27420887186146,1408.34376547493,469.85557139849897,0.39418161497744003,1962.8157582032502,139.056399788455,14.7818874001754,2.31716276222862,0.0,1036.7809378807199,1116.50680724561,457.76558322302594,275.399647667177,0.7590129105712791,4.45689973770388,451.059842289197,24.847366735363003,1.48763712977407,422.688829372609,0.0,1062.52138525704,450.903671419056,0.0,2.63570953847399,736.982258446366,0.0,9.82463694157565,32.409608785256,114.574501115094,1.27052161117366,0.0,466.98129490010905,85.1681550254859,1.00304337724236,151.562555010468,0.0,0.0,0.162947938979522,0.0,0.389266195763845,705.8567997604581,0.0,478.868753919409,0.0
SRR7344554,40729.8076642931,787.3355802669851,928.541944632168,853.233094689888,711.0542797568851,594.3724651271759,1959.4631675856301,40.094231212462894,486.36468990572,220.25144828892502,0.0,777.956666954693,0.0429360563083928,0.0,256.04189601986803,557.436147307782,19.9181630228425,535.29783688381,448.437852287056,0.0597061653610342,1185.3265988574901,645.976810959096,0.0,1.4029761858543601,820.714299313981,520.76033751949,1.31659892068049,15952.8996386703,708.662135020394,0.0,0.25652381733360397,1747.8192755357998,0.0,81.6867022473356,221.160405840308,0.0745664646539248,1288.0339520390198,7.1175607318467495,614.609661475631,4493.77781895464,1511.8013956807401,923.4668168266401,0.0,498.954010056112,3.6241720900450294,0.0,117.616170247457,2.24846570341066,446.91665954934797,2.8233389813499703,0.0,664.815543537266,0.9368560746983621,0.0254837867068014,0.0,0.0,1.46017626990199,356.22281605328203,80.45477977354341,0.271979838701726,5097.03016778267,20.3593245997968,3287.25896042497,40.5624048430501,0.0,326.999202034081,720.3331608224851,137.47344574378099,253.52517803340197,4.36423637281846,8.13470047420447,407.936540309519,269.404450726555,6.976645238064361,391.360855902536,2.00624597437027,71.5512383671,345.107888797339,0.0,0.0,106.704709945616,0.0,4357.592199168111,63.865649463443006,39.1217965002204,4114.37435300422,0.4878090010263211,307.196250535784,133.986067892193,1.1534766614657501,171.877588277614,0.0,0.13734858339524,7.6828406481344995,0.0,0.0373039260729348,209.960674183442,0.0,62.467483935108795,0.152517186402581
SRR7344556,109408.937654515,857.066597526243,1071.76914744248,1693.76211208035,432.56767802573603,397.068279645294,2786.1855975062895,566.1022938814331,413.72833946503096,125.955385051049,0.0,2366.08447501443,0.0,0.0,204.51602148543802,423.78711049277604,7.04717161461136,337.99581619195,170.563927730753,0.0501704918274449,655.883020534506,142.963062189081,0.0,0.673661037380841,344.727750379708,256.75668431286897,0.15804640942283701,123.16410969773999,78.4839875498583,0.0,2.87405853946194,599.483117070082,0.19654959501308802,17.9371077998212,89.21324695895599,0.219301082897369,9302.98935420088,91.61381570277479,2065.91178005767,3291.09521125739,1439.60650639809,554.2907685861489,0.0,1677.69103759805,0.0742769622539594,5.16815951025129,74.4446481232903,56.1796356538842,530.906034502303,0.0,0.0290809733781808,4690.697754294551,0.0,0.0,0.0,0.0,0.13825030673299202,115.596869178269,40.0683387024701,5.25646439396961,1422.05510774862,85.5017047870064,3.55034468262919,34.9549456705287,0.21555439045964603,148.293301576145,112.245603405447,63.4973928597765,731.587907243588,36.8556016570969,2.88434697196678,1508.23962041246,240.722210203418,3018.8241212890302,1118.8803456103,1.0536427294855801,29.7535668097792,282.913945838534,0.0,0.22147156980559699,19.2375852616993,0.0635982548428234,17.5268018173739,177.042563527377,9.51027089744377,7.36633699570789,0.0,995.8600925765261,202.672440071708,0.0,39.630754199108296,2.2292861960694905,0.0,0.472376628906919,0.0,0.0470191723130291,11.1595928176674,0.197006687094513,50.0871372488068,0.0
SRR7344564,70.048933941993,3472.0522598311895,2214.16003434472,1878.94282316712,617.248914393191,1637.1818530888097,2122.9931588342,1071.65606656909,1626.4425707075302,825.370338877859,0.0156761629052239,939.849395729061,0.0,0.488372767431975,911.6172460355999,1047.2257292103,19.7507426828859,542.751512950411,774.0169372738701,1.03401400270614,379.006865876754,1033.89445099192,0.027627702248110002,1.0413117158465102,20.4060279989457,431.61290928775,0.0592243094833552,0.22513638214949203,126.04326571222299,0.44012797064926706,3.0155672153560493,484.121883730834,4.49280283728023,222.841831789283,456.174503491675,8.159112340510159,0.0,170.087928327182,4155.47282552882,0.3968028735384799,2048.46283441066,0.8061218494767299,0.011722389173958,1311.37896810857,9.769596395405971,4482.504185214,112.547724130914,225.79293599584202,1832.40138355641,1.10584407379576,0.0435897423729192,1673.92106088398,1.02607611743284,0.0,0.0969962579760728,0.0,3.4710133042288898,839.5711304092031,470.85945003706803,2137.36868687576,0.0,489.820903180595,10.5195303706108,157.695638317848,0.0807741218398941,818.4111332560491,250.86752208469898,580.928716018658,840.827422376821,1055.18644656804,9.105737583065858,1578.16659961146,288.871043089373,3.89701138429412,1410.3801474023498,21.004888430096603,413.13714287322097,1012.85152152741,0.0,31.6612384324037,693.5460795769769,0.0,0.0,805.095100932405,212.280524948165,2.3003065132665497,0.0,701.74164188105,280.417089527818,0.508488808195764,134.665108756823,27.5673575300418,0.0,62.83941417375179,0.0,0.34651425774313105,459.77592883421,4.13413226384277,259.698960423834,0.0960491070592387
SRR7344565,105.676178700044,3693.9380495549603,1560.39404367388,1213.93106762092,402.858354966915,989.146188644705,1399.1776628482698,1032.95971115729,872.942282232291,598.895748025883,0.0,605.579058725586,0.0,0.143747777596469,496.168911124531,559.019485053016,13.116673293681199,344.958366287687,433.051906075673,0.48142948315548206,386.485502037778,472.51948035639197,0.0243958369289046,3.2043180045733703,17.3547106847025,229.10397036960399,1.4120000915026298,8.54840507196021,110.474394958698,0.923025157703495,1.5929302072076899,894.8376538187911,23.868467990002998,188.13555439233397,571.149787938463,10.7292511883903,0.0,213.052474127849,5256.71004252225,0.0,2470.83736680961,1.0040442204212,0.0,1618.6463214784899,180.326261835977,10.558026423464801,65.8299481492919,285.513707134951,2230.17784924187,17.5862739589204,0.0192453255278485,1943.68359304272,6.35365176976392,0.0,0.10122239339084697,0.0,3.28798848694493,1132.02929287358,362.07645301902494,329.941869502909,0.0,333.359943228595,8.36006811811042,94.8355382063751,0.0713252331585532,955.419004660938,264.794313127448,478.529606854886,928.0592720093221,75.5375902726898,331.23168813165796,1927.64222450689,466.14825868483,3.53776182328098,1704.7374704517301,32.772347802777,568.650643125648,1037.45013839253,0.0,0.842756578457728,770.707861660708,0.0,0.966579883838324,895.7323576561549,197.36168750793598,0.812487438588736,8.31882300026016,856.158638412881,328.25425983413504,0.320718725758712,134.429426609748,6.638877623205331,29.214679459064303,20.997061528658897,0.0,0.0933496206038122,529.213543219342,21.512022065890104,264.594572020561,39.438214019848104
SRR7344567,18.5219975419593,3027.61956931633,12901.0460927897,16040.073647970301,7866.57846822725,13010.852499190802,14698.700063202199,23.6329735926878,10551.2835153191,5126.7732422504905,0.0,4235.8003965617,0.0,0.0695009288628865,7160.9191558129405,9444.615230227171,17.8979948348983,5497.36902654574,8833.38263372985,0.0,1722.01187790322,4999.10649754784,0.0,3.04463810634931,440.40082553030703,4127.6590144892,2.17449734520636,0.768946446993638,665.675808358794,0.23488182198029198,0.574753228509876,4547.65582829315,0.251557886371469,1822.2815713278699,180.398891455737,0.681643725386002,0.0,5.15217783659523,1074.3901216726101,0.677634056413144,1310.8940117127802,840.9328146429159,0.0,477.295057578442,10.4214829894665,1.22225771448525,422.18655151073403,4.14538084578637,1058.20876598857,5.54512021573051,0.0,650.975285532062,2.4422205184667596,0.0,0.0,0.0,1.5924815034433701,501.993542182392,134.275401655836,3.65629886553854,0.0,19.9750705411469,4040.7331993156604,1141.72880518126,0.0,496.49927220737,581.436507002153,164.269623575766,598.913745262891,3.05081999424099,19.153276034811803,634.716279366192,1177.9141770391802,4.53852214370834,585.709827868351,0.8091152912395742,171.609745751507,809.672800501213,0.0,0.0708636921739235,197.10781856065202,0.0,0.0,337.252067765928,256.595084100063,2.74981935935768,0.8743665244040559,306.338532238178,291.955643643589,0.12405200117403099,405.814127160505,0.0,0.22156971871819395,0.755725713471907,0.0,0.0050148681325672,471.37325181754403,0.252142904711867,100.813655632017,2.1733497724596997
SRR7344574,37.0016881530903,1910.9637480256301,13253.67972145,21372.3215861851,8489.87005365615,14399.778132853899,15051.9250975813,865.8813105857749,15408.9921427094,6781.53145672212,0.0,10182.238986622,0.0119084213864708,1.93575969799155,7403.428156619691,10215.8761397713,14.537767806984501,7949.766050996741,7814.126047499491,0.14075704710167902,2472.42789170409,7711.210396000691,0.0,0.945003077658785,401.043000861603,5653.30144618002,0.0,0.7932191039839279,790.308689771516,0.0969184520465631,9.865788753876439,1230.8132358245098,13.4290521972035,2185.9971081935896,170.627471365587,1.23053100459933,0.0,176.431515092025,3452.3235246609697,0.34951216769291804,902.13600315964,502.69958566565697,0.0,1596.4356195712398,0.0858074589688883,23.2884500064883,1437.02457310834,215.618940193115,1278.88306805437,0.009549512778495,0.0,3400.63821951883,0.0451894519845389,0.0,0.0,0.0,0.7529270687142429,169.176847389981,138.478828450996,40.457919267475205,0.0,135.321673027435,3.2702892883547903,1302.54613895919,0.640327635467942,223.929499967998,161.470144228426,131.572369332565,1460.10587151392,72.5653833876726,12.663295329471,1962.03649419213,517.8714291183429,1942.8632149530201,1633.24270039271,15.3715799124647,147.870043212465,674.8933970266941,0.0,0.21930175227791,128.145178295698,0.0209917217833585,0.0,962.937128736436,81.2882290078792,6.07847248161597,0.0450983442184411,1215.21027902381,533.725639606362,0.511871366872924,83.08113142865271,11.773041438077199,0.0,28.740554458614696,0.0,0.0827706891113664,68.3857312905878,2.01579110669404,92.69577306358809,0.0
SRR7344575,543.352446737663,2352.12514191072,18149.1439916178,30257.810944662997,9082.66397185203,20443.3579422951,17970.0918807214,2668.60409713249,14653.3686263817,10790.8383142326,0.0,22196.2589059192,0.011354796488893,0.478531884849858,7969.0082112888795,10496.7475775033,18.4825387562708,5964.1783489541,9274.186079026658,0.29211113407434497,1160.56411475697,8903.11892188484,0.0,1.5901229914068002,516.909865151413,3998.8209103474896,0.34818551323030705,22.3120945702031,1170.34221375622,0.277238081344062,11.351868704217301,1232.68968873433,11.629419223464199,3258.0432779867797,160.257978302854,0.48313315297341397,0.0,244.75665895203602,5831.090611186441,1.9995796616940502,1079.0204873345801,480.46925646294005,0.0,3231.87875552875,0.35064965571136303,80.69037644537259,1173.08673486051,226.030470512598,1622.37760580736,0.0182111080300005,0.0091524415228014,4027.4788578032103,0.0538607316281225,0.0,0.0,0.0,0.516687251083734,197.03376110287,87.3350748386471,102.56836681927,0.3920744434694221,102.191040511505,2.57255862908006,1716.2520452147598,0.610558675326427,182.49534086413001,190.64695472671102,143.578810976929,1015.74525816547,147.61687661221902,10.532611775216802,2630.32929849892,440.558537359702,1871.5196135737801,2081.73025825075,39.1294195820726,115.49892349803301,422.26995558379303,2.9217602362652797,0.0697021232834527,74.3270049546035,0.0,0.45967348544690795,980.1195401235901,89.5853211183369,8.11423630832368,0.0860034263094215,1648.4277354503,931.5688776833459,0.183027886653918,54.506581838962205,37.1851656385209,0.0363229729644696,15.0154309168103,0.0,0.0493266644882898,30.6848165550984,0.868034581820673,84.5425552260214,0.28234105157555894
SRR3184279,272.5942,4102.282,2731.841,2015.046,2339.576,2072.685,2884.7690000000002,3114.5440000000003,1894.4,1039.722,0.0,1316.1889999999999,0.0,12.7775,1321.2020000000002,1374.58,48.55426,1667.566,1113.181,0.0219588759184747,583.5784,946.7844,0.0,3.9067809999999996,5.42505,845.6794,0.0,10.62364,453.2187,0.6425920999999999,285.7897,207.5013,63.45339,333.6203,790.0649,4.64018,0.04738347,349.0983,603.6246,2.966205,2657.953,2.842514,0.0,904.5201,3.524075,473.3339,206.2861,1279.23495617502,692.1353,0.3393711,0.04073059,1328.399,0.26965500000000003,0.003748995,0.0,0.0,5.854352,2956.796,614.9378867559369,635.16,0.9814649,411.31332275049203,8.7743,199.4675,3.6605839999999996,974.7221,679.4333837387239,472.2268,917.888935115758,237.7137,12.76962,713.8925,89.4532143634819,211.075192075978,808.8777,224.4576,790.2278,1178.4925433656501,119.8672,1.240765,605.6396,0.0111344029995028,0.767122,577.4081,712.1298,2.794251,0.0,403.7656,725.2208,5.464062,616.4379285491381,43.3222,0.0,148.2275,0.0,0.06859863,739.0831,71.94771999999999,343.3541,0.0
SRR3184280,36.07716,3758.188,10903.23,8993.275,6084.895,5808.899,7385.724,42.15684,6628.244000000001,3334.094,0.01166979,11685.49,0.0,1.333049,3426.617,4765.637,44.23195,4838.215999999999,3199.3909999999996,12325.559795950701,5055.6720000000005,2788.317,0.0,11.41633,386.2363,1881.221,0.3967947,2.011177,683.2234,0.8600655999999999,95.98848000000001,508.8883,2.193163,618.9228,832.672,1.59057,0.0,7.768733999999999,1620.733,0.5907832,1807.1770000000001,28.836409999999997,3187.1659999999997,1481.379,0.4040429,4.011684,349.8152,823.8050444492098,2513.785,0.3631864,0.008112368,2684.1820000000002,0.3723724,2286.14,2325.69,3310.353,2080.902,635.101,740.4754510599499,7.735434,0.1737598,27.984194416830803,8.867506,442.8184,0.060130600000000006,577.4244,906.1754161100639,454.6778,785.9560107731709,8.132859,9.478984,1308.451,618.56696444124,0.21303595617143303,1092.175,1.528394,714.0789,417.33677807937795,1494.277,2263.294,597.4207,1678.8886717574499,0.0,965.8536,153.3506,3.082347,0.22869029999999999,1674.455,1126.593,0.32445759999999996,181.844777108141,0.621877,0.3541479,2.942935,0.0,1522.2160000000001,573.2819999999999,1.044175,460.974,0.1072526
