,FTL,MT-CO2,PGC,IGKC,MT-CO3,LIPF,MT-CO1,MT-ND4,MT-RNR2,MT-ATP6,ALB,MT-CYB,MT-ND1,MT-ND4L,MT-ATP8,MT-ND3,GKN1,MT-ND2,SPP1,MT-ND6,MT-TP,HBB,MT-ND5,HLA-DRA,PMEL,TYRP1,FGB,RPS27,IGHG1,TMSB10,MT-RNR1,PGA5,RPS12,MT-TC,RPS18,FGA,APOD,FGG,SERPINA1,ORM1,IGLV1-36,IGHA1,CD74,COL3A1,PSAP,TMSB4X,APOH,IGLV2-14,KRT10,IGHV3-73,S100A9,SAA1,TFF1,B2M,RPL41,S100A6,RPS11,IGHV3-7,RPL8,EEF1A1,RPL13A,IGKV4-1,HP,RPS6,IGLV3-1,LGALS1,KRT1,MTATP6P1,IGLC2,S100A7,CTSB,CRP,ACTG1,HLA-DRB1,IGKV3-20,RPL11,HLA-B,CD63,DCT,RPL7,MT-TY,TFF2,GAPDH,IGKV1-5,RPS8,PGA3,CCL21,RPS4X,IGLV3-25,APOC1,IGLC3,PABPC1,RPL10A,IGLV1-40,POSTN,SPARC,APOA2,RPS20,ACTB,RPL7A
SRR5088813,12.737581317403672,13.311915349649043,1.945755595692719,10.820776103542999,12.615687977717588,2.329799704306773,13.489411518028815,13.581854158310726,11.408613003103167,13.217288568929256,0.7470829383485036,12.830376182296472,11.950663670561744,13.051143220295073,12.87348174164684,12.544849750257253,1.519335662446113,13.077308596064038,7.3085068657650245,12.089071248270058,10.107821635428229,6.147098178211325,12.190835282460343,10.804407430617516,11.272988294541628,9.625868888140403,0.14795631498838102,9.590061065902963,8.03305290041646,10.925582953788807,9.660172560949999,0.5294977212024424,10.154683620341075,8.682601954003125,8.213718502712618,0.2066650964184205,5.929759463849019,0.06679800867026517,4.270616358026511,0.038505917065576274,1.3507034018449866,6.952390748827428,9.267153051231563,6.56523507243422,10.466230001877715,9.701327114966544,0.15027703781263657,5.81638753060668,3.9440283702796006,1.477499876112596,7.479675249501287,0.46707245204130654,0.06244201572668002,9.709731350904173,8.770241830396566,8.354779743940675,8.82235898878702,4.776743702807021,7.982066569884592,9.399462488670519,8.646935865492265,5.3039823111088955,0.3908090310743825,8.210338612466892,3.602274047097245,8.40575361927124,0.16033748219316662,9.836262775872253,6.652443764889869,0.12557081302483747,9.925811634254687,0.08471163529449545,10.432164752480842,8.460341321371327,6.9810719020936896,8.265270735792532,8.501313044341835,9.484318625254822,6.678841374844711,7.268006177209332,6.962375334745437,0.16021559043419048,9.257758534949703,6.633223538059155,8.060049578949757,0.22562254463400344,6.45318610821471,8.060369146571363,6.054913283337486,7.179447001879942,6.421572913889448,7.851672051926486,7.7719893695690585,5.7659114421113316,6.170569461022532,7.884829573726339,0.3602991816111605,7.856943562032681,9.748931225275864,7.5816554898672015
SRR5088815,11.82229437848727,14.426585480533388,0.06646709819251556,6.918690511893307,13.9598824098699,0.04334089105235127,13.92177625169942,13.488657003058226,12.963948156097338,13.687383629557505,0.42904474327094844,12.901448342514222,12.465905124581717,13.00500732962429,13.345871537023124,12.91646528230592,0.08722108115711358,13.19188559293409,8.305333370076378,12.039012690281819,11.836530565162068,8.423363988548216,12.257069715770042,10.629392092389116,9.577171025518096,0.1318619953268674,0.30799730789071245,9.096838238033877,4.461140988845459,10.466013933566144,10.651366153719085,0.011773367507559024,9.833015835364893,11.167221910857162,8.673752427536503,0.17981850811822744,3.1935158557834633,0.17964772670525148,4.8010831551697875,0.21282099019408524,0.08506586256315674,3.58119721699978,10.03291204068566,9.128055858508082,10.861365949929565,8.84497809956741,0.19327876190976703,2.9466435219227027,2.8459897158407275,0.14957376750165569,6.835723353880138,0.16967730536126788,0.06118170182653757,10.03006255356864,8.639018666660924,8.34916864801792,8.923926440534935,1.2888078616259309,8.337827977085324,9.498105192426205,8.560519094611585,3.6631687976823977,0.22925567796429105,7.96024578566243,3.4535890366182236,8.00613050127787,0.21796792266993725,10.272363226384023,3.0323583148908853,0.0,8.79570810972227,0.13062319823294394,9.608548149729543,9.468426447965154,3.270921477380389,8.18523035271695,9.88527532625021,8.790761997953735,8.804748268077766,7.151153576891767,9.652776620899724,0.0,9.871146459488992,2.432151997735661,7.87392929542286,0.006817788382742126,4.803100879432478,8.004943545838435,2.6926093991356064,5.733310075453077,1.9799943043828316,8.611881029516447,7.9720898389459105,2.7417377440297086,7.049321373361704,9.444819942524695,0.13885918942596,7.855385358949841,9.726787444337019,7.411480634132559
SRR5088819,10.841954268329149,13.873160605415917,0.3390578328223683,1.730817435108894,13.56418371347622,0.1496178909954469,13.717979012485326,13.586683467765155,13.686791856664524,13.049906558990662,0.07759446227589324,12.041681716070842,12.594058673890217,13.052140149282689,12.90714613421618,12.698249314976792,0.1394733738279495,11.842928358294195,6.858841348808704,11.865902919426853,10.659382004448496,5.147469919998315,11.986871425545132,5.700101866955951,7.878908479308959,10.075894858940819,0.0,11.408166133063173,0.401536538027819,9.883913141464834,10.688773340977319,0.011506143708478652,10.807237367369769,10.803166700397902,11.777046158643497,0.04191722761470599,6.643743555351987,0.009317461427871779,0.4752756841698635,0.0,0.0,0.5054044286721515,4.666469664351739,5.844199197435257,7.8078585356961545,5.481182535530131,0.025045166620301863,0.49176419056237186,2.9472125260615476,0.0,3.6694041960195882,0.043331475794848966,0.0,6.497546251547417,10.099817500054433,5.812564964834203,10.99656435255066,0.21752259273899496,11.178800813980613,10.030681995847036,10.785078481359282,0.8669149334991234,0.03079879010830029,10.833343776275145,0.0,6.7197553047676735,0.04001632272832295,9.710701955285344,0.26537849897511856,0.0,4.738054872496871,0.0,10.105245871655145,3.507767476076301,0.5523845584283006,10.00655993222234,4.494190409357466,7.683477606315058,8.539031786309755,11.058867384452817,9.96491403427067,0.0,9.475189525946057,0.0,9.951329227349914,0.0,0.35353005517117475,9.803420038876848,0.1670562030428128,4.121781662552243,1.1777238789923286,10.785874943903167,10.204110438694418,0.08039913830303025,7.6732098357698195,7.834210673221544,0.0,10.735171237866293,8.62325689683338,9.615786038995646
SRR5088821,13.729115029696557,14.539026409314598,0.0,12.727700482512008,13.920326843462416,0.0,14.148447698745635,13.802107199615246,13.289352308518103,13.361653304237818,0.0,12.729039240542395,12.590201863971071,13.281179020755244,12.978626289961465,12.101308756773353,0.05818464947111432,13.100852456612701,9.363428003037642,12.01246210050404,11.369374010379975,7.985828861056534,12.12707536235276,10.876523455920644,10.494633859832522,0.40307639057056077,0.0,9.999706977844307,10.394588777910064,10.835659534613566,10.337350866212416,0.023231310475276868,9.427462687330065,9.724029982574613,9.072892722520876,0.0,7.718621586158579,0.0,3.8770709866265465,0.0,0.08428401821263883,6.143580656773954,9.752593640132561,8.062656114057965,10.125010486906984,9.817121478031385,0.0,6.815448139916338,3.546693608756853,0.2826368163766779,7.342009338867901,1.7830845006460692,0.0,10.419009733484376,9.169013046854516,9.101525542897129,9.077550060640595,4.775719480591938,8.500436272807983,9.153401916563409,8.663748983587304,6.478285569022577,0.17230402593111996,8.702273129873918,11.578716546394016,8.824534638921136,0.45482540222682294,9.945603902984802,10.082616744016525,0.0,9.60731104792567,0.0,9.859445029804139,9.634573343687197,8.494323638906417,8.486003783706765,9.261105529535502,9.369948261234052,7.357715281254056,7.876433884044643,9.111237260857264,0.0,9.767660854818427,5.898794149518485,7.994112909907235,0.006753428458394361,4.337476146568143,8.410234233368394,5.117821304551739,7.265352417535258,7.078783861228876,8.460837530418047,8.409902595512085,3.9670941861066686,6.497122914418567,8.747891721233454,0.20178088239904896,7.944151137898437,9.888613461560396,8.348249767788813
SRR5088822,12.349905590214727,14.42085356367233,0.3161857652393912,11.653527350726767,14.469452317391982,0.4978289161837291,14.46869420225921,13.966182875629352,13.957527850377314,14.07251942448026,9.955757380152109,13.55807161037847,12.66486086203322,13.437758904442797,13.869708329026166,13.216743385063443,0.2298828955414975,12.981516556629026,10.375417645569286,12.52156864369556,11.13846943274904,4.661334266800024,12.474783102854166,10.038072140437249,10.801738817096238,10.395100863892534,7.473454596029739,9.363235541345885,9.206157677871706,10.07457400701136,11.423724244085138,0.09509433322052341,9.512951987567018,10.037930284939359,9.966902361831515,6.970825632428544,3.7440778969373194,6.775893268531687,7.632120648035379,7.006447453764284,0.9136517656645438,5.9231900904729935,8.839575537992848,7.374140159967862,9.463551968632483,8.638257396211278,7.495244600376375,6.457722825822372,3.302162584747152,3.2927516986390333,5.173376448777315,5.101780789277232,0.0,9.272832915170135,8.768759663928599,8.046172885123854,8.839200987330514,4.76524178291242,10.131582841934101,9.643443603977165,8.749710697159829,7.064047969706541,6.671603804597915,8.835531525689733,6.089023238579436,7.3526926358486975,0.0,10.808265018058997,6.522234251792417,0.0,7.78465754271622,3.226540523849319,10.070933344360466,8.276917876178869,7.978062114508277,8.488941622132417,8.17811618080446,8.750159181551036,3.5989829678843566,9.534225888553474,8.684708450570735,0.1629383504528546,7.96758695433951,7.628232310976479,8.263752208375422,0.02115368025764338,4.318777070018268,8.969927685028932,5.462399641177856,8.47137796023599,4.419962568568401,9.445326191391977,8.590190510431164,5.824113490216751,6.1949309996298485,7.662090741944195,7.218074906575893,9.297872734814558,8.991796512337096,8.829584491106548
SRR5088824,11.98216658280902,13.351274634700742,0.08232846318459092,14.369899908487904,13.117629599239022,0.028935106390672056,13.223279258101895,13.121927359632563,12.476406934402311,12.695630437658826,0.08866521757691212,12.191787432651466,12.190531872105257,12.591534744328715,12.394048967591873,12.535296534455336,0.0,12.108918812664974,9.011956329762087,12.1131926227974,10.38789621635531,9.749512624904767,12.011406050973271,10.918985797647668,9.079852127398476,8.112629479460777,0.025121772147013936,10.11538095116663,12.152207356248393,10.824337799149514,10.207789896887778,0.0,10.57247242508348,10.948466356112673,9.611381814442446,0.051124938708305256,7.946661323127814,0.1276234050421813,4.590651602595511,0.03758900611058268,1.5835731219625284,8.162884691751463,10.178864114161316,8.754856828711798,10.101442214810493,9.67071535796425,0.02553304600705912,11.81720886733709,3.651934932373832,11.95808744838516,6.2823211836115895,8.047731739602751,0.0,10.691674413077406,8.942321489207428,8.652521106954302,9.418477443585198,9.778553629041651,8.996229217073674,9.9178531327264,9.368753418471467,7.730050531179328,1.6338303338413052,9.231961553327373,6.310032713903717,8.715350738643034,0.5448328196664978,9.384294430643632,9.6084658055998,0.0,8.387524638222773,0.14565180792796298,9.478912574196228,9.470024162252487,9.214870878050922,8.985316923612455,10.103874748135143,8.924806111456087,7.763392017495646,8.199301072466488,10.472508361027478,0.15655282782923818,9.520289130670056,7.90930891446405,8.917026142663115,0.0,4.832401761350881,9.13757793599155,9.40665757784052,6.446085446024453,7.5240567942963406,8.069571858294054,8.60258226780997,7.159296866696066,6.609290082440074,9.147721138990233,0.0,8.18680183077632,9.71576194946151,8.593869306549871
SRR5088826,11.456939554617083,12.972149305295323,0.0,9.097276748150087,12.72645370996208,0.0,12.487907491940025,12.55847356054944,12.3874296328754,11.987724928156888,0.03451467072446687,11.231101788221082,11.362807701482206,12.043215829309645,11.623512638127774,12.078220028199752,0.0,11.462815544116424,10.653277266298918,10.76939844226372,10.84384177403862,7.789135479955473,10.731568400058975,6.831019030989431,9.720216924051236,8.969067403000118,0.0,10.803115845960985,6.441927177681391,10.295301653653883,9.698138739693325,0.026747076997232302,10.8065288893319,9.910423995769964,10.824395400142906,0.0,6.236886630360302,0.053603514235878814,1.8818434170049796,0.0,0.0,1.933053464493102,5.79422473154268,2.6171392799915725,8.146836320583272,7.723163976289183,0.0,5.553581437285337,3.9942896142001016,0.5839476794317027,5.4819717505179915,0.834954336856839,0.06965322663818409,9.191021160935136,9.496109073339442,6.678253190875259,9.974975905548513,3.49417479892653,9.047173763409761,10.11047857803506,9.89563501324367,1.362020215038456,0.014476793303353382,9.725869219252635,1.6741656811336476,7.960990739340037,0.0,8.669103846750918,2.4550937054007145,0.0,6.857574528539424,0.0,9.103693724512814,4.61551090793325,7.80216374065172,8.745384115322423,8.814099557309563,8.676815993150319,9.472745015514374,8.340554940242644,9.138122509720395,0.728350857195094,9.825952354752022,1.7903914061491089,8.920278483124756,0.0,1.0231715636443037,9.728299631759498,0.586945946471474,6.680299122617083,3.1256703398006827,7.674051871808791,9.122923998383063,0.6189175781819529,8.07429371575339,7.202776024282838,0.0,8.367955149251323,8.732566271127583,9.219168828224516
SRR5088829,12.28693648044423,12.869399784281772,0.09426838160259406,2.7645524913266293,13.141836080724975,0.0,12.746829612583127,12.584083414144276,10.637881208464133,11.686785067272975,0.0,12.00477829548646,10.700605494405464,12.039645024158363,11.248302003233329,11.698858549874943,0.0,11.543610875080416,10.77726494862676,10.99801227098872,9.730583925739424,3.6835729110980386,11.134797050712672,7.714143694703791,8.73917220112482,0.18917398318417997,0.0,10.5007110130414,0.8416495241431067,11.360466826644373,8.42580699669957,0.0,9.217917264829397,9.014613639323214,9.822170053175446,0.0,10.065634698612234,0.0,1.170294718678501,0.0,0.0,0.6162106862668386,5.643233590083478,3.2637007834603597,8.825766254040946,6.0635428523438515,0.0,0.29485232064839095,3.1722518552445673,0.0,3.61080949152518,0.5329147589486269,0.0,8.653121201768064,8.796350427164484,11.480373833190054,9.626521219942846,0.0,8.975784831348916,10.59204109947538,9.416200837104642,0.46595771604435354,0.0,8.791869132737734,0.5996380694804864,8.951295196173948,0.0,8.315351422108918,0.2597968827461646,0.060071444493862806,9.618235713607588,0.0,9.982459074931011,5.944645954926505,0.0,8.012136286135682,7.603438390016709,8.603395432638834,8.19957453372662,8.231629602225507,8.145189081182433,0.039078032713972595,9.115329759817396,0.2281700813206438,9.037301200459455,0.0,0.06946506241034164,8.802515905368832,0.0,5.026044142784496,0.5300185658509993,7.687630582652729,9.240575194160016,0.0,10.414285777373262,6.539038436106602,0.0,8.34729218418818,8.94736823554857,8.25288929973131
SRR5088831,10.77939494792664,12.638599574996656,0.12062252768473754,8.651755884273841,13.318835195910342,0.0,13.005426715166585,12.802216396180773,11.965229055504526,12.622624793786699,0.0,12.006467150605804,12.35969550892325,12.240010390006827,12.249877615444749,11.585391989181135,0.0,11.716689924321617,7.266253207834562,11.545924071910903,9.267865146445635,4.671312035525673,11.671831441540483,9.143419091627235,5.0255361809060775,6.348219869404883,0.0,9.71062506762271,5.856778785994998,10.564623397504405,9.466325514679971,0.0,10.257227608376185,9.961746865903006,9.588071096777671,0.0,8.439849291313424,0.0,1.8096796228337813,0.0,0.48481576316742714,6.33766530623708,8.670476239434299,9.465153555393728,9.02436399008958,8.22386963018814,0.2527729412206952,2.4568980517362338,11.533565489808705,0.663287581971716,10.657511937163157,3.076897521536748,0.0,8.962060094192713,9.362046539108448,9.37843297998984,9.631187672298946,2.313189288714732,8.584848915991106,10.083914323881482,9.60773645016132,3.889681976694571,0.1011157718776092,8.921305849187048,3.119454891055457,9.623023485197393,11.234849754445133,9.202175827096863,3.9366094324759437,10.135321718628829,8.877324966808688,0.0,9.855181167011283,7.158763473537425,5.671977800886876,8.956879434839857,8.951532974050249,8.707338132488388,4.230465924131767,7.926359959979687,9.347536705500106,0.9948429734759289,10.448182224926516,3.9909606439751077,8.764925511710116,0.0,5.168865612556266,8.888482792110276,2.8779341948325885,4.158937512149336,5.461528579303405,8.198294536345967,9.019733204584824,2.5531300957480036,7.168251735483696,9.26439067556167,0.1424972964566154,7.934747972316349,9.659220601156212,8.88967944429612
SRR5088834,11.518304552666622,12.497799984606589,0.017209068206178867,12.61611788685079,12.449805269873485,0.0,12.758509060971377,12.164702076980308,11.73378810153238,11.945211603233352,0.0,11.090342289902622,10.886435374382637,11.68493308960933,11.526072230517853,11.753383084143197,0.0,10.794109785529463,5.450419019803777,10.891667376331998,10.235988463095246,7.849893756575184,11.055900697319398,11.720790201222666,1.5421743382420166,0.41280402797963456,0.0,11.81795412971485,8.658286813361038,11.525196212471565,9.516458149044526,0.0,11.113005791242005,9.172920175754978,10.285081215703539,0.0,4.977995421201674,0.0,4.587994784009178,0.182499609089276,2.3450735961907676,9.400679379531052,10.81571967383406,4.341428187902702,8.999171353553708,11.21615162256661,0.0,8.284282357813668,3.4619327219368983,4.559241469146982,7.930718706783683,2.157790110124406,0.0,10.613740558344414,10.23237699353703,7.770305550778134,10.565577864379824,6.415670226094598,9.057745720288352,10.84091308082583,10.5008629852018,9.092349928773205,0.8696529651113638,10.097358766400287,8.13503189769576,6.663667449868182,0.0954076984503636,8.596898427785849,8.485193817757846,0.0,7.4996128696544355,0.0,9.817399880002107,9.941203246506046,8.95997094997522,9.883340329099656,9.945255648124117,7.031165815538856,0.6300820224438506,8.710955123489954,8.326186101603838,0.0,8.397501348340127,8.281846904075781,9.138083152690948,0.0,10.961864572197387,9.890024879550648,7.08329278938106,6.298577017761694,8.683702852845077,8.643345617401827,9.558883038285538,7.8271871225710425,1.9096905102134751,6.306339933547949,0.0,9.279572958832917,10.591215371058954,9.592842143184042
