GENE_SYMBOL,SRR5343917,SRR5343919,SRR5343921,SRR5343923,SRR5343925
5S_rRNA,0.149179695847909,0.0609701115490452,0.0457161638986825,0.0496940583651174,0.0272568223809896
5_8S_rRNA,0.0,0.0,0.0,0.0,0.023095370543229
7SK,0.0,0.0,0.0088934267155219,0.0,0.0
A1BG,0.024843926005012,0.127711923221516,0.105282543324242,0.0587863756172318,0.0701047692974698
A1BG-AS1,1.74010961330653,0.930540257529896,0.953230145100432,2.05874742426694,0.672436638945714
A1CF,0.0,0.0021310588958675,0.0,0.0,0.001827812309992
A2M,36.0044565659387,120.706916230816,393.723276290742,321.123317840532,160.053667313451
A2M-AS1,0.0454036348431013,1.03629835859888,0.968060858201169,1.19074145970612,0.544511290909705
A2ML1,0.0068139646430287,0.0140110629720771,0.0216569492960211,0.0053744630225622,0.0240346181197508
A2ML1-AS1,0.0,0.0,0.0,0.0,0.0
A2ML1-AS2,0.0,0.0530169911321651,0.0,0.0,0.0
A2MP1,0.0,0.109859129144383,0.0566032140536976,0.0632108172435663,0.0565358007714859
A3GALT2,0.0,0.0200044560870144,0.4251631739485,0.287754424147887,0.0686314041558319
A4GALT,0.614350417136285,0.688410227361386,19.2886549426034,4.42776131384717,2.2246264497433
A4GNT,0.0,0.115553690440518,0.0520950924600929,0.210543299159137,0.0495552840566177
AA06,0.0,0.0,0.0,0.0310519805805156,0.0
AAAS,11.7010148443117,8.19967088465251,8.89287651802575,7.98652738232862,7.23223324067571
AACS,2.13965263957518,0.676472297935403,1.86800753032636,2.59973803167147,1.35782525214386
AACSP1,0.274821843405344,3.15444823036249,0.0,0.0,0.0
AADAC,0.0,0.0245378400204026,0.0079017136645104,0.211778975469992,0.0
AADACL2,0.0,0.0,0.0,0.0,0.0
AADACL2-AS1,0.0,0.128910605209548,0.020755997468352,0.0,0.0
AADACL3,0.0,0.0,0.0,0.0,0.0
AADACL4,0.0,0.0,0.0,0.0124602233186577,0.0
AADACP1,0.173129565862959,0.376336315780111,0.0393043490827142,0.0487695122437522,0.0087238974218956
AADAT,3.11606115635714,0.899314717742054,6.54360497174008,5.04939995790724,3.76250779960205
AAED1,4.91062001712923,7.05376970407514,6.40198685856694,7.47067961328276,7.89975501901471
AAGAB,22.5378289214808,12.5200599695022,8.32822891374935,11.5813761038914,7.28567655780087
AAK1,1.26260877198557,0.817438103105975,1.64750729905044,3.80310473782205,2.5226859586756
AAMDC,6.99183261664162,3.38091780917244,1.91290605592269,1.40393946991103,4.60718765957568
AAMP,39.4771012789826,29.4324670489819,47.1501897840346,32.0747576631778,24.5119846727276
AANAT,0.0151483664499358,0.0654118310680869,0.10231095555747,0.116494553629916,0.0801483178669133
AAR2,27.3551360520296,17.8314212431785,14.3828821670085,13.0874535218317,8.81869279355903
AARD,0.0068770569082419,1.62053511119818,4.89607475936714,3.40099005880527,0.873257791684279
AARS,120.681340556068,19.4135774673469,44.1025030822732,45.0568794538796,18.8987702203317
AARS2,29.9369327628214,11.3845415443566,4.93408886770061,4.64823151651229,6.305498280653
AARSD1,0.0716521004867373,0.392274205984913,0.21705819706712,0.354985168925852,0.568654911863521
AARSP1,0.0,0.0,0.0,0.0,0.0
